date,VTI,TLT,IEF,DBC,GLD,CASH
1993-11-30,-0.0162,-0.0296776358316924,-0.0188099695528778,-0.0205631129389433,0.0264978856609368,0.002575
1993-12-31,0.0188,0.00307813706907053,0.0028168318288623,-0.0209948320413438,0.0253323703287591,0.00265
1994-01-31,0.0312,0.00645349016126158,0.00744633346660972,0.0188056746948202,0.00933994260370463,0.00260833333333333
1994-02-28,-0.0234,-0.014549164396835,-0.0120105086902577,0.00550518134715028,-0.0128463606286187,0.00253333333333333
1994-03-31,-0.0452,-0.0403975836074295,-0.0265540887099467,-0.0119162640901772,0.00581288785315914,0.002775
1994-04-30,0.0095,-0.0355518036237938,-0.0233448455243257,0.0231421121251629,-0.0178585374742926,0.00299166666666667
1994-05-31,0.009,-0.0081741474339553,-0.00579561099602198,0.0420516087926091,0.0110265857343548,0.00315
1994-06-30,-0.0273,0.00936362907227237,0.0113184013762675,0.0275145215530419,0.0110374118448995,0.00355833333333333
1994-07-31,0.031,-0.0099703764806907,-0.00566177619906723,0.0404641475751264,-0.000388963800435627,0.00354166666666667
1994-08-31,0.0439,0.0114828501100104,0.0092028961880627,-0.0251644266514154,-0.0133077382033256,0.00371666666666667
1994-09-30,-0.0191,-0.0186251386269017,-0.00601671964611056,-0.00733352889410388,0.029498369965296,0.00384166666666667
1994-10-31,0.0173,-0.0140969555047078,-0.00999876765001936,0.00443262411347511,-0.00462229940242098,0.00395833333333333
1994-11-30,-0.0366,-0.00496691100901987,-0.00696095946437663,0.0314798470138276,-0.0138030120327373,0.00425
1994-12-31,0.013,0.0276273360948284,0.00811997908413106,-0.013405590416429,-0.0132677749161008,0.00454166666666667
1995-01-31,0.0222,0.00864203311547905,0.00703183614185928,0.0239953743856605,-0.00195101373619133,0.0048
1995-02-28,0.0403,0.0308717235259079,0.0253217106509643,0.00734048560135503,-0.0050455686170916,0.00491666666666667
1995-03-31,0.0265,0.0227935582486413,0.0225029245946465,-0.0050448430493274,0.0145497026338148,0.00495
1995-04-30,0.0255,0.0186851125713134,0.016341604975014,0.0343661971830986,0.0233172825290484,0.004925
1995-05-31,0.0344,0.0531129045322739,0.0307758883027608,-0.0111655773420478,-0.0148581950233996,0.00486666666666667
1995-06-30,0.0319,0.0521116423549141,0.0307852727224621,-0.018176810795924,0.0060744509630859,0.004875
1995-07-31,0.0416,-0.0108509145031712,-0.00337276437980411,-0.0215988779803645,-0.00343172670038183,0.0047
1995-08-31,0.0102,-0.0137197619823185,-0.00652971553448974,0.00200688073394506,-0.00662817492167878,0.00465833333333333
1995-09-30,0.0379,0.0353852297365137,0.0210852883998803,0.0065808297567953,-0.00158990799384895,0.00464166666666667
1995-10-31,-0.0104,0.027834100836854,0.0141542423067544,-0.00852757248436609,0.000208844567430644,0.004525
1995-11-30,0.0438,0.0188803429165089,0.0129281291239936,0.0266628440366972,0.00566372605313981,0.00453333333333333
1995-12-31,0.0153,0.0293067418602354,0.0162977952777047,0.0326724378665175,0.00552801640237721,0.0046
1996-01-31,0.0269,0.00624553107944131,0.00985548528095861,-0.000540832882639175,0.0309983481313236,0.00440833333333333
1996-02-29,0.0172,-0.016340698433739,-0.00110124984401074,0.0427489177489178,0.0132932782576043,0.00429166666666667
1996-03-31,0.0113,-0.0426479114554859,-0.0261558856480985,0.00389206019719768,-0.0211236288170769,0.00413333333333333
